index,username, location, date, rating, content
3,Pan D.,Daly City| CA,12/26/2017,5.0,First time driving here in tacoma. After running some errands decided to stop by a local coffee shop. SO here I am at bluebeard. The ambiance of bluebeard is definitely a plus wide and plenty of chairs available. The staffs are actually interacting with the costumers and I appreciated that especially I am not from here. The location is great very accessible to the local neighborhoods. Coffee is good. I ordered one shot vanilla latte and they did a pretty good job. THUMBS UP. WIll definitely will be dropping by again when im town. :P
4,Neil J.,Tacoma| WA,1/20/2017,5.0,Definitely my favorite coffee spot in Tacoma. Great location on 6th ave. Parking can be a challenge if you've never been there. This coffee shop can fill up quick with patrons hanging out for extended periods so I usually get it to go. I usually go with the cappuccino which looks tiny but it's effective. It's not too sweet either. They have this vegan pastry with marion berry in the middle (definitely try it!)
5,Stella S.,Tacoma| WA,7/16/2017,4.0,A tasty cup of coffee but wish they allowed dogs inside or near the giant patio door with seats for ppl with pets.
6,Ben S.,Charlottesville| VA,2/21/2015,4.0,Great little coffee shop on 6th in Tacoma. Decor and quality are both very high. Their espresso macchiato was excellent. They had squash bread that was also great. It's simple and straightforward...go there!
7,Meesa P.,Tacoma| WA,11/4/2017,5.0,fall winter summer spring...trendy hipster environment with lots of space and opportunity to connect. if you catch them roasting their beans you may end up walking out smelling like a coffee roaster! industrial chic decor down to the mini succulents on each table. lounge leather couches inside the sliding garage door and outside in the foyer another private area to talk. large bathrooms double stalls with a latch per use / occupancy. i personally go there for the chai. it's made locally and from scratch. ends up tasting spicy and less on the sweet side. always a nice pick me up with ginger top notes. meesa
8,Jon S.,Valley Glen| CA,4/15/2018,5.0,This place is awesome. My tinder date slowly went to shit in here but who the hell cares! Super rad place with great coffee and pastries.
9,Cooper C.,Tacoma| WA,3/27/2016,5.0,Funny enough I actually have to agree with others that some of the baristas here are unfriendly. This was a first (and second) for me since I've always done my best to try and fit in with the coffee elite. That said Bluebeard is really consistently good and the majority of the staff I've dealt with have always been very friendly.
10,Mike R.,Manhattan| NY,9/27/2017,4.0,Stopped in on my way traveling through Tacoma. I was very happy with the friendly service. The baristsa took the time to talk to me and recommend some places to see while I was visiting. Coffee was great and it had a cool ambiance. Nice big room to relax in with plenty of seating. I tried one of their pastries a cinnamon roll cup which was kinda dry but had a good flavor.
11,Jami L.,Missoula| MT,8/19/2017,4.0,This place is a hipsters paradise. I am totally not cool enough to hang out here. I will anyways though because their coffee is spectacular.  Dark and rich drip and the specialty mexican mocha were both perfection. Not over priced either like a lot of places in the area. Open and airy lots of seating. A 6th ave must.
12,Rachel G.,Seattle| WA,6/22/2017,5.0,Went here today and had the nitro cold brew. It was on point. Can't wait to have it again.
13,Haley W.,Fairfield| CA,8/12/2017,5.0,Great coffee shop with great friendly staff! The decor was simple yet warm and welcoming and there were so many tables that you could practically sit there all day to get work done and enjoy coffee.
14,Robert Z.,Puyallup| WA,6/3/2017,5.0,The best coffee in Tacoma. The baristas are amazing and friendly. A cool place to lounge around and take in the good vibes. Usually there's some pretty awesome pastries available. Parking can be a little difficult just park further down the street and enjoy the walk. It's worth it!
15,Michael D.,Tacoma| WA,9/29/2016,5.0,This is a great place for meeting people and getting work done. Lots of tables and natural light for a comfortable setting. The coffee here is fantastic and the space is one of the most appealing in the city.
16,Samuel B.,Port Orchard| WA,9/28/2015,5.0,Everything you need in a specialty coffee shop. Really nice slow bar techniques.Great roaster awesome flavor profiles and single o's. Perfect pulls and perfect milk. Music is never too loud.Always a sure thing.
17,Tim T.,Fox Island| WA,4/4/2018,5.0,Outstanding beans. Excellent service. Cool atmosphere. Go leave the pretense at the door and savor the crema!
18,Ainsley E.,Tacoma| WA,4/9/2017,5.0,Everyone here is tight. Super friendly. Got some sweet sweets. Single origin is always poppin'. It's a bit hard to find a seat with an outlet as they're usually the first spots to go. But no one cares if you post up all afternoon. Stellar music. Amazing natural light and plants. Feels good.
19,Danny H.,Seattle| WA,4/7/2015,5.0,My favorite coffee shop in Tacoma! Why?1.Great environment with nice interior decor. It feels welcoming and like a home.2. Fast WiFi without the hassle of signing in like Metronome.3. A smooth and delicious latte! That microfoam though.This place roasts their own beans and I can see that the barista puts in a good effort to make your drink. I'd put this place in my top list of coffee shops I've studied at.0 to 100 reviews are real quick.
0,Moon G.,Tacoma| WA,9/15/2016,1.0,Made the mistake of coming here once instead of wonderful Valhalla and never did that again. Poor Customer service bitter sour espresso. Charged extra for a tiny splash of milk that I tried to explain I just wanted to add from the free cream container on counter and tie guy told me 'oh it would have been the same' and just brushed me off. What? Yeah it would have been the same little splash of cream or milk with out the extra 75 cent charge or whatever it was lol. So somehow I paid like 6 dollars for bad/unfriendly customer service experience and an awful doppio with an expensive splash of cream that was available for customers free on the counter. When I tried to correct things like my dead shots and bill I was ignored. Hopefully they were just having a bad day!
1,Erik B.,Tacoma| WA,9/7/2013,5.0,Bluebeards is one of the top coffee house leaders in Tacoma. Located at the end of bustling 6th Avenue they offer a laid back atmosphere friendly service and a diverse clientele.  Bluebeards has certainly been on the rise since it was founded.Here you can order a dry cappuccino (the true test of a good coffee house) and get a great one without fear of having boiling milk or foam excruciatingly picked out with a long spoon from the stainless steel pitcher.Music levels are appropriate.  The atmosphere is minimalistic and clean.
2,Kaisle D.,Tacoma| WA,6/11/2017,5.0,Great coffee! This is the only place in Tacoma where you can wear a fedora and fit in! I recommend trying their kettle corn.... its a secret menu item that you have to ask for while you're ordering. Delishious!
3,Talia B.,Temecula| CA,2/20/2017,5.0,My husband and I stopped in here after seeing the high reviews- it was wonderful! I loved the atmosphere and the cappuccino we had was pretty and delicious. Will definitely be coming back!
4,erin c.,Tacoma| WA,3/21/2015,3.0,"The atmosphere is pretty great here with it's industrial look. Free internet. and good coffee. I've had better. The remark on this place I'd like to mention is the staff isn't friendly. Not that they are mean but I was so shocked how ""emo"" they are that I was just curious if anyone else has had an experience like this other then me. Yelp says yes! It's not that I'm looking for those young cheer leader types but you can at least smile or say anything whats so ever other then what your total is."
5,Jen B.,Seattle| WA,1/30/2015,4.0,I used to get the ground blend online from my weekly delivery from Terra Organics and loved their coffee but then stopped when I moved back to Seattle. When I saw that it was across the street from the store I was already shopping in I decided I needed a fix in the form of a kazillion shot I just ran a muddy trail and need to drive back to Seattle stat coffee. Cool little place to hang out and drink coffee if you're in the neighborhood.I've only been inside once so I can only say their service was decent when I was there but their coffee is better.
6,Sarah H.,Seattle| WA,5/30/2015,3.0,Cute little hipster type coffee shop. Really nice open space with lots of seating and a cool industrial urban feel to the place. As for the coffee it tasted good not super sweet for a caramel latter which is nice. But the coffee wasn't very strong it didn't taste much like coffee so I'm not quite sure how many shots were put in it. And they got our order wrong when they made it.. I took it anyways wasn't really in the mood to point that out.
7,Treysea T.,Tacoma| WA,5/21/2015,3.0,"Nice looking joint inside and out - lots of windows place for community announcements and the like; crowd looked a mix of college students working professionals and local neighbors - seemed friendly enough for kids and groups.  However the staff - though not outright rude or mean - have that ""tired can't really be bothered by you"" attitude.  For example when I asked about their bean varieties the barista was clearly annoyed to have to have such a pedestrian conversation **le sigh**.  And since that was clearly such a basic conversation for said barista he could barely contain his disdain when mentioning that the bags on the shelves were whole bean and would need to be ground.  Um yeah I know that Mr. Coffee-HIpsta'-Gawd.I picked up three different beans to try and did not have my socks blown off...there were more varieties to try and thus I will...but I will try some other establishments first."
8,T Q.,Chicago| IL,5/24/2015,4.0,Great coffee and latte art. The space is cute and very spacious so you don't have to worry about getting a seat here. The decor is alright but the coffee makes up for it. Definitely would come back here.
9,Malani T.,Gresham| OR,4/15/2015,4.0,We  enjoyed ourselves last Saturday morning at Blue Beard Cafe. My husband's latte was perfect and I ordered hot chocolate that was good too. The place looks great and everyone was friendly.  If it wasn't for the blue berry muffin that was dry and flavorless the visit would've been perfect
10,Jeff M.,Kirkland| WA,11/23/2016,5.0,Great coffee chill atmosphere and friendly staff. Try the Pistola (spicy Mexican mocha). Great neighborhood hangout.
11,Emilie E.,Enumclaw| WA,9/19/2016,5.0,Been here probably 25-30 times. My favorite is that the shots have always been consistent in my drinks. I would agree that on occasion the baristas aren't overly friendly; but still giving 5 stars because honestly I don't want to have a whole conversation with someone while I wait for my drink-- especially if I'm in before 7am. And they are *never* unpleasant or rude.Really enjoy the atmosphere here and the good coffee will keep me coming back. I've never had a bitter aftertaste with the espresso. They are my number one choice in Tacoma so far. My husband and I also like their Narrows Blend; bought a pound and it's delicious.
12,Russell E.,Tacoma| WA,10/28/2015,4.0,Coffee wise theyre good not as good as valhalla but close and theyll treat you better. Very cozy space friendly staff a must stop.I recommend a standard latte. Perfect on those rainy tacoma days.
13,Mike T.,Bedford| PA,2/14/2015,4.0,Pretty good little coffee roaster in downtown Tacoma Wa. Bluebeard is located on 6th avenue in Tacoma which just a few years ago offered about 8 coffee roasters/shops. 6th ave is now down to about 4 with Bluebeard being one that made the cut.  I found the coffee at this little roaster to be really tasty and full of flavor. You will pay a little more for your cup of joe here... but it's well worth it.
14,Sam P.,Cottonwood Heights| Salt Lake City| UT,6/20/2015,5.0,I came here when they opened the garage door for some fresh air!! I was knew to this shop they answered the questions with kindness and ease!!! Told me about some cool areas! They serve light to medium roast coffee which has more caffeine!! My american Was good!
15,Sarah S.,Tacoma| WA,1/22/2015,5.0,I've been going to Bluebeard since the day I moved to Tacoma 1.5 yrs ago & it has definitely remained my favorite coffee shop in town. * Coffee/espresso - Wonderful basics (espresso latte etc). I don't do foofy drinks here b/c it's the kind of place where you're supposed to taste the coffee. * Chai - VERY good choice (spicy! Yumm!)* Food - Unfortunately very limited. The pastries are good quality (Corina Bakery) I just wish they'd expand their options. * Service - Prompt good with coffee ... But they're in a friendliness dry spell at the moment. Not many smiles cracked since one of the gals left. I'm not too bothered but it does make me wonder if this is a good place to work.
16,Kelsey N.,Tacoma| WA,11/29/2016,4.0,Come here for a delicious espresso. A tad hipster but totally chill and welcoming.
17,Elle M.,Tacoma| WA,10/19/2014,5.0,New haiku review: I had left you onceWith bitter coffee and wordsVowing no returnBut I fell in loveWith a man who loves this placeHe pulls me back inI like the new staffBitter zombies have moved onNice smart staff remains(Now) I go in dailyWarm foam in happy bellyMakes for zen morning
18,Angie B.,Seattle| WA,2/27/2012,4.0,I'm not much of a coffee drinker but have recently started to drink the occasional latte.  We stopped in here for a caffeine kick... four stars for having almond milk!! Hey this is the first time I have ever been to a place that offered almond milk... and being someone who has given up dairy milk and swaying away from soy milk that was a pleasant shocker.  The latte was a little too sweet... This place would be great for anyone wanting a place to study or get work done.  Great atmosphere and location.
19,Jon H.,Seattle| WA,11/18/2013,5.0,After living in Tacoma for a few years this has become my favorite coffee roasters and favorite cafe in the Tacoma area. Since I work from home most days Bluebeard was a place I felt comfortable working in all day. I was never pressured to keep buying drinks or food. The music they play is always great and the roasts of coffee they provide are outstanding.Their coldbrew is on a whole other planet from the rest of local competition. I never knew I could taste so many different flavors in coffee --cocoa berry citrus-- and it has opened my eyes and raised my expectations a ton in regards to coffee roaster expectations.I now live up north so I don't often get the Bluebeard experience but I'm happy to say it was a home away from home when I did live down there.
0,Kaylene P.,Tacoma| WA,12/4/2014,5.0,It's like the Olympia Coffee Roasters of Tacoma! That's a huge compliment since we recently moved to Tacoma from Olympia. I was so happy to find this gem and splurge on their delicious soy mochas on the weekends. The ambiance is industrial and cool and they serve Corina pastries. Great location and friendly baristas too!
1,Adani C.,Tacoma| WA,11/18/2014,5.0,The ambience is unique and I like it!! This place is pretty big... lots of ppl reading and studying on the many tables. Strong Wifi..Coffee is pretty good too! and the building itself is pretty charming...Definitely returning.
2,Brian H.,Los Angeles| CA,11/22/2015,5.0,I got the Americano and my wife got an Almond Latte. Delicious. The cafe vibes are excellent with plenty of seating and not too cramped. Love it here!
3,Lauren L.,Tacoma| WA,11/28/2013,4.0,The coffee is solid and the shop is great. Bluebeard is roomy and bright perfect for relaxing with a book or doing some work on your laptop. I will say much like other reviewers that the baristas aren't terribly personable or friendly. They do their job and make good coffee but an acknowledgement you're there might be nice. Especially when their competition down the street Valhalla has extremely friendly baristas who remember you and your order.
4,Eli S.,Pasadena| CA,9/26/2013,4.0,This spot on 6th is very unique for the neighborhood. Not only do they roast their coffee like Valhalla down the road a ways but they have a large space for you to sit back and relax. I think this matters. Valhalla's roasts are considerable more flavorful especially since it seems they roast them in smaller batches.The first time I came here was after an intense morning at Bikram Yoga (across from Valhalla) and wanting to do something different opened this door. Now there's no looking back. The barista and I had a fantastic conversation about yoga while she made my iced latte (Yes it was an iced latte I needed cool that day as it was hot... yes hot in Tacoma!). She made suggestions for yoga and it almost nearly seemed like I got her to go to yoga with me at the hot yoga facility. Odd. She was very sensitive to temperature and pressure and even threw out a badly pressured brewing. I have to respect that awareness. My second trip was for a cappuccino. I could tolerate the heat at this hour I guess because it was incidentally on that same unseasonable warm trip. I was pleasantly surprised with the flavor of the drink. Balanced? Yes. It was brewed in that more avant-garde bitter-forward style. It's not really my favorite. However I could definitely see how it stacked up against the new LA scene of roasters (e.g. Handsome Supreme Beans etc.). The cappuccino is standardly made dry here just the way I like it and that made me quite happy. I'm used to asking for it this way and having forgotten I was glad to receive this.The space is FANTASTIC. Bigger than Metronome and Valhalla (did I even have to mention it with it's what? 2 tables?). The baristas are obviously friendly (though I can say the same of every coffee house in the area). But the sunny open space with it's huge windows makes for a beautiful space! Maybe one of the best in the entire region. There is no haughtiness in this roaster. I haven't tried any of the pastries but wonder if they too come from Corina which seems to supply all the local cafes (Metronome for instance). I like Corina but am not wowed by them. I will find out on my next visit in a couple of weeks.
5,Michelle G.,Bakersfield| CA,4/4/2012,4.0,I am at Bluebeards a couple of times a month. I always get the carmel latte and since I am always there at the same time the same guy always makes it really well. Free Wifi no stares if you are there for a few hours and great Corina baked goods. Friends that have been there report their coffee as inconsistent. One teenage raved about the hot chocolate best she had ever had my teenage daughter hated it and wouldn't drink it.Sometimes the music is....strange....and loud.  But I always go back.
6,Jay S.,Tacoma| WA,5/16/2011,3.0,A good cup of joe that doesn't assert itself ahead of the pack in any way on a street jammed with coffee houses.  It's tough coming to turf that's already owned:  Valhalla Metronome Caffe Dei and  Satellite - just to name some - are locally owned bad ass coffee houses within a mile of here.  At least you know you can walk into Bluebeard and get a solid latte.What one needs on 6th at this point is to fill a niche other than coffee:  good food excellent pastries late hours events meeting space or some such.  Bluebeard has space but it's not really open late enough to make much of it nor do they offer much in the way of food.Ambiance - an identity - is a factor with this many coffee houses around and Bluebeard doesn't really have anything one way or the other.  It's very neutral as in blah - not bauhaus and needs to feature some local art for several reasons (liven up the environment community connections etc.).Hopefully Bluebeard will make its mark with something creative in the months to come.
7,travis b.,Tacoma| WA,4/23/2016,4.0,Great atmosphere clean lots of room to sit and relax or look like you're working while actually stalking people on facebook. Espresso is excellent most of the time. Would maybe like a few more food choices but the pastries are pretty good.
8,Victoria M.,Oakland| CA,8/16/2013,2.0,"Yelp says Two Stars = ""Meh. I've experienced better."" And this is true. Bluebeard has everything set up for greatness. Location Architecture Atmosphere Logo and even Regulars. What is the problem? Staff needs a re-train on how to pull the espresso/froth milk for latte's and cappuccinos. (Haughty Baristas even get a pass when the product is perfect. But maybe deal with the haughty as well.. the reviews are calling for some attention in this regard.)One could say I came all the way from the Bay to try out this place.. Last time I was in the Seattle area I had Bluebeard espresso at another cafe. It was delish. When I found out that Tacoma was home to the Bluebeard coffee shop I excitedly planned an out-of-my-way trip with fam in tow.Upon arrival i was sure that it would please. It looked like Mr. Bluebeard was straight out of the Bay Area or a kin to Stumpstown in his attention to espresso environment detail. Disillusionment happened when I realized the product did not match the packaging. My capp was drinkable. Not great and not gross. My sister's latte had spoiled milk and the double ristretto seemed quite off. She reluctantly returned it. (Let's just say the barista had not been trained to take returns with grace.) The second latte was hotter and more rushed than the first and not drinkable. Such a disappointment. This can/should be easy to fix. Management and/or owner quickly make a re-train day and voila! Back to representing what Bluebeard product has to offer and back to creating new regulars rather than depending on the loyalty of old. What makes coffee places like Four Barrel and Blue Bottle (Bay Area again sorry) so amazing is the pride each of their baristas takes in their craft. If something isn't done right they jump at the chance to make it right rather than argue or make a point. I hope to return expectant for a perfectly crafted cappuccino and then will happily update this review.  Until then..."
9,Alden C.,Tacoma| WA,4/21/2013,5.0,Ok I am going to bump up Bluebeard another star. After getting more familiar with their products I am really raving about them. When you get some of their brews that you take home and make they are just amazing especially with freshly ground coffee beans. It is indeed worth paying more for their coffee. The saying of you get what you pay for stands up here. The brews are delicious and wonderfully complex!
10,Corinne M.,Tacoma| WA,3/21/2013,3.0,The coffee was not bad but it was not really anything fantastic either. I'll come here if I'm in a hurry and I don't have time to make it to Valhalla I'd pick it over Starbucks across the street any day though.There are so many good coffee shops on 6th that this place does not even compare to. I asked for a caramel latte I didn't taste any caramel and the coffee was served so hot that it really takes away from the taste and made the drink taste bitter. I loved that they serve Corrina's Bakery items those are so good. I really think that their coffee is just average though.
11,Jeff S.,Puyallup| WA,6/2/2015,5.0,My fav down to earth baristas and no higher than thou attitude like metronome! Get your coffee anyway you like it by any brew method of your choice! Did I mention that they roast their beans on site? Good stuff!
12,Sophia A.,Federal Way| WA,5/4/2017,3.0,Love this place good coffee and ambiance the 3 stars are for their outrageous prices - $3.85 for a 12oz Americano with steamed milk. When I asked the reason for the price they said they charge extra $.50 for steamed milk. There is no sign on the board stating the extra charge for the steamed milk. So I can't continue to keep coming here and expect fluctuating prices for the same think I can order in other places for at least $2.5. Sorry Bluebeard not rich enough to drink your Americano's.
13,Shannon W.,Tacoma| WA,1/31/2016,4.0,I went here to catch up with a friend and I enjoyed the atmosphere here! I loved how place was on the corner of the street. This place seems great as a place to study or get work done. A lot of the customers here were doing just that. The tables are big enough to accommodate your laptop and more. There were plenty of power outlets. We came here on a Friday in the later afternoon and it was pretty packed! It got more quiet around 5:00 pm. I ordered a chai and it was decent. I will probably be back with my laptop.
14,Chris E.,Tacoma| WA,2/28/2016,4.0,Great coffee- nothing super fancy they don't have a ton of flavors and things like that but you don't need all the add-ins with a delicious roast.
15,Brittany M.,Sackets Harbor| NY,1/30/2016,4.0,Cool little spot on 6th Ave! Plus I saw the place had great reviews so my friend and I decided to meet here for a latte. I originally was hoping to order a matcha but saw on their menu they didn't offer it. My next go-to drink is a chai latte so that's what both of us ordered. Depending on how you like your chai you may or may not like theirs - I like mine sweet and creamy but this one was very spicy. Not a huge deal I'll just make sure to order something different next time. They roast their own coffee in the place which I think is really awesome! My friend and I met on a Friday afternoon around 3pm and the place was packed! Not one single table/couch was available. But by the time my drink came out a table was vacated and we were able to snag a spot. Service was decent too; they weren't overly friendly but they weren't rude either. I'd heard from several locals when I first moved up here to try this place so I'm glad I finally did! I'm sure I'll be back again soon.
16,S W.,Tacoma| WA,6/28/2016,3.0,Small menu but I see that alot of people come there to study or be by themselves and hang out. The open window bar seating and spacious sitting space makes you feel like you're in a chill living room. Personally wouldn't come here just for coffee. If you're liking their coffee they do have packages of their roasts for sale too!
17,Jason Y.,Port Orchard| WA,3/1/2018,5.0,"Let me begin by saying that I am a 100% tea snob and have very little knowledge of coffee. I am purchasing a cafe and decided that espresso and specialty coffee would be a wonderful compliment to our food and bakery selections. I called at least a dozen roasters with very few returning my calls or acting too busy to ""educate"" me. At this point I am getting FRUSTRATED. So I call Bluebeard and I am quickly connected with Evan Bridges. He literally calmed my stressed ass in about 1 minute of conversation. He very patiently walked me through the steps of purchasing beans to installation AND made a trip to my restaurant to get hands on. Oh and he brought me samples and connections for purchasing supplies. I only hope to offer the exceptional service I received from Evan to all my future customers. I am actually excited and looking forward to getting our build out completed and working with Evan and Bluebeard for our coffee needs! Well done!!!"
18,Richard H.,Graham| WA,11/2/2013,4.0,The aroma as you walk in is very pleasing! (And I dont like to drink coffee but wife does) the employees seem to know what they are doing and offer a great service.
19,Jessica S.,Auburn| WA,5/30/2016,5.0,I always have a good experience when I come here. Definitely one of my absolute favorite coffee places and a nice place to hangout
0,Mike S.,Port Orchard| WA,4/11/2017,5.0,This is more in regards to their coffee beans to go but seriously Bluebeard is the best roaster around.  Their Guatemala single origin is my all time favorite coffee.  Can't go wrong with any of their coffee beans to buy and brew at home.  The cafe is good but their beans are the best!
1,Ray O.,Federal Way| WA,1/22/2016,4.0,Better than average coffee and roomy area with tables inside. I had a Mexican spicy mocha the name escapes me but it was great. Excellent quality coffee and great location.
2,Travis V.,Vancouver| WA,1/8/2013,5.0,This is by far my favorite coffee house/roaster in Tacoma.  The industrial look and spacious atmosphere is down-right relaxing.  I have had several dozen americanos here and everyone satisfied the need for caffeine.  It is a no frills place but in a good way.  It is coffee it is light fare and there is space to read and work.  The staff is friendly there's local art on the wall and the coffee is GREAT!  That's all you need!
3,Laura A.,Tacoma| WA,4/26/2017,5.0,Favorite coffee in Tacoma! The shop is very clean and simply designed. Only complaint is I would like a few more tables. Highly recommend anyways!
4,Stephanie S.,Tacoma| WA,8/18/2015,5.0,Best coffee in town.  Lots of seating great wi-fi nice location.  Great selection of non-dairy options!
5,Jenny M.,Lakewood| WA,9/22/2015,5.0,The coffee here is amazing. The baristas are all super nice. The location is perfect. There's plenty of seating. It's light and airy.  All around fabulous!
6,Nicolas M.,Centralia| WA,9/14/2015,4.0,Definitely the best on 6th. I like the cozy open shop. Plus it's right by my old middle school and neighborhood so it's a bit nostalgic for me as well. I've always been a fan old buildings and seeing this building on a daily basis was always something I enjoyed. Now I get to enjoy delicious coffee inside!
7,Leah A.,Tacoma| WA,1/20/2013,4.0,Well I'll start by saying that I love the Bluebeard logo. There aren't very many syrup options for lattes but they do make a really good nonfat mocha! It's probably one of the only places where I actually enjoy the mocha plain. They have plenty of tables where you can hang out get some work done or just play board games. Overall it's a fun place with good coffee and good service!
8,Brigit L.,Tacoma| WA,2/23/2014,5.0,Bluebeard is one of my favorite spots. I love how open it is! It doesn't feel like other cramped coffee shops.. Anytime I've gone there there's been a good spot to sit. The coffee is consistently good and the staff is friendly. What more could you ask for? Yum!
9,Susan B.,Mission| KS,2/20/2014,4.0,Great local place..wish I knew about it sooner :) My soy latte was delicious!! Will be stopping by before/after church for my morning/afternoon fix.
10,Peter W.,Tacoma| WA,9/18/2015,2.0,The atmosphere is nice but the wifi speed needs to be a lot faster to accommodate all the customers. I'm talking at least 20 seconds to load a page here folks!
11,Stephanie P.,Tacoma| WA,9/18/2015,5.0,For several years it's been our go to coffee spot in the area. It's my number one stop on my walks to work. Coffee is fantastic and the baristas are darling.
12,Jaymie D.,Marquette| MI,1/24/2016,5.0,My latte was delicious and I loved the space. The barista was really sweet and funny.
13,Tammy M.,Puyallup| WA,4/15/2012,1.0,"Two shots with foam was yummi no foam art :( Bought a lb of beans Costa Rico blend suggested by staff instead of my fav Panama. Costa Rico was not good at home sour flavor. don't buy this for drip. We were in on march 15th funny how there are two more bad service reviews....Barista guys were not friendly. It's Tacoma! We are friendly here. The men behind the counter made us feel like we didn't belong. Our friends think we should go in with them it shouldn't matter with ""regulars"" or not. Coffee taste even better with a super staff. Dump the beard tall guy and mushtache man afternoon staff and hire nice people that's cool."
14,Morgan C.,Tacoma| WA,9/25/2014,5.0,"Every cup I've had here has been amazing. They are simple no fancy syrups and crap here. We were inspired by a small business owner at another place to ask for something special. We said ""make something delicious!""  We were not disappointed. What came out was a cayenne pepper pulled espresso with a kick of agave at the end. He also gave us a little glass of soda water to cleanse the palette. WOW. So interesting and delicious!  Blown away at the ingenuity here. Bravo."
15,Kimberly G.,Los Angeles| CA,6/10/2015,4.0,Yummy coffee and nice open space. It's great for that person who needs a space to work. Prices are higher than I'd like and the music they play (have no idea what genre that is) is really bad.... really bad.
16,Dalana Q.,Olympia| WA,8/10/2015,5.0,Ordered the iced latte recommended by Eli S. as well as a gluten-free fruit muffin. Everything was delicious there is plenty of space they keep the area cool and airy and the barista was nice.
17,Gee S.,Falls Church| VA,8/9/2015,5.0,Great space. Good coffee. Friendly and faster staff than many PNW establishments. Great place to grab a coffee and relax.
18,Jennifer J.,Tacoma| WA,5/31/2015,4.0,I've been here a few times. I sometimes work nearby. I am giving 4 stars instead of 5 because the workers aren't extremely personable or friendly. They do however make an awesome cup of coffee! I will continue to buy coffee here when I can!
19,Zoe F.,Seattle| WA,1/4/2015,5.0,Don't expect any frills--simple drinks concrete floors weird bathroom... The snack/pastry selection is very light so come thirsty not hungry. If you get a hankering for something more substantial Cork! is next door.
0,Ryan K.,Tacoma| WA,5/10/2015,5.0,Bluebeard is my overall favorite coffee shop in Tacoma Wa. If you like a place with great coffee good eats and an easy going atmosphere then stop in Bluebeard. Order a drip and get some monkey break and enjoy your stop.
1,Olgy D.,Tacoma| WA,3/1/2015,5.0,Love this place. Great vibe and coffee. Also perfect layout for mommy's to come one play dates :) Tacoma needs more of those places.
2,Andrew Y.,Gig Harbor| WA,6/10/2015,2.0,Roast of coffee is above average but have received customer service on more than one occasion with snark remarks arrogant body language and unwelcoming attitude. I am a Tacoma resident and am always looking to support local business but I will not be returning.
3,Amanda L.,Tacoma| WA,1/19/2015,3.0,I've heard nothing but good things about this place. But I have to admit I was a little disappointed. The baristas were friendly but that was about it. The coffee wasn't strong enough so I couldn't get a good taste and there was barely in caramel in my Caramel Latte. I'll definitely give it another go in the future to see if it was a one off.
4,Jay E.,Tacoma| WA,1/17/2015,3.0,Well it's coffee.... Good atmosphere.   But I'm not a fan of their blends/roast.   Just too acidic and berry flavored for me.   No earthy blends.   Too bad because it's a great place with super friendly baristas. I wish they would explore that rich earthy side of coffee but it seems like their flavor profiles are all in the berry/cherry range.   It's still a way better alternative to Starsucks.   I'd go there more if not for Valhalla.
5,Ian M.,Tacoma| WA,2/2/2016,2.0,Really great coffee with terrible hipster service. If you don't have a quaint scarf or ironic shirt don't get mad when your ignored at the register until the patrons finish talking to the barista about the difference of opaque and teal clothing.
6,Kt Y.,DePaul| Chicago| IL,5/18/2014,5.0,Super cute coffee place coffee was great!   Awesome atmosphere couches and tables with lots of natural light. The staff was really friendly and it's right next door to a cute little sandwich/wine shop.
7,Sidney A.,Tacoma| WA,7/5/2015,2.0,Coffee would be four stars service a one. A simple hello when you step to the counter or a thank you when you pay or leave a tip or when you pick up your coffee would be nice.
8,Nick L.,Tacoma| WA,5/10/2014,5.0,Best best best in Tacoma! Atmosphere coffee staff everything. Kevin has a good thing going here and Tacoma loves him for it. Doesn't matter what you get here you'll love it.
9,Harry T.,Tacoma| WA,9/2/2011,2.0,Since i go to Caffe Dei and have orange chocolate coffee drink i try this new place. They no have orange chocolate coffee drink. That ok.I try regular coffee. It no good. It fight with stomach. It was bad battle. It was bad coffee.Free enternets though. That nice. Sometimes i like to check my personal ads for fellow Bigfoot. No replies. :(No go back here. No good.
10,Matthew L.,Las Vegas| NV,7/9/2014,5.0,Coffee is really good prices are cheap and the wifi is free! Lots of space to do some work before my meetings too. Will be back.
11,Wesley C.,Ferndale| WA,7/9/2016,5.0,The coffee: exquisitely bright and bursting with floral notes. The ambience: chill clean and solidly hipster. Everything from the wooden chairs to the professional graphic design work screams quality and exceptionalism. Their menu is varied but simple. Bluebeard represents everything I adore about PNW coffee culture. A must visit for anyone interested in fresh fine coffee.
12,Chuck L.,Tacoma| WA,11/25/2011,4.0,Were you a fan of Blackwater Coffee?  Former owner/barista Rachel can now be found continuing the dying art of coffee latte art at Bluebeard Coffee.  Industrial loft aesthetic .  Closest thing Tacoma has to a Vivace.
13,Jake N.,Tacoma| WA,7/11/2012,4.0,When I go to a coffee shop I am looking for a few things in particular. I want a welcoming environment (physical environment and people) quality coffee drinks good prices and consistent WiFi. Bluebeard delivers all of these things so I am satisfied constantly.Some people argue the coffee quality but it's not honestly a huge factor for me. The baristas make a nice iced latte for the summer days that I'd like to sit in a place with an open garage door. There's always a lot of natural light and I feel comfortable hanging out for a long time. Bluebeard certainly fills my coffee shop need.
